Tamanho,Tempo,Desvio,Imagem,Threads,Programa
16,0.001094,0.000209,triple_spiral,2,mandelbrot_omp
32,0.0012849,0.0000174,triple_spiral,2,mandelbrot_omp
64,0.0034167,0.0000180,triple_spiral,2,mandelbrot_omp
128,0.011121,0.000136,triple_spiral,2,mandelbrot_omp
256,0.042896,0.000191,triple_spiral,2,mandelbrot_omp
512,0.162094,0.000853,triple_spiral,2,mandelbrot_omp
1024,0.64129,0.00189,triple_spiral,2,mandelbrot_omp
2048,2.56785,0.00308,triple_spiral,2,mandelbrot_omp
4096,10.2291,0.0102,triple_spiral,2,mandelbrot_omp
8192,40.9129,0.0288,triple_spiral,2,mandelbrot_omp
16,0.0007624,0.0000288,elephant,2,mandelbrot_omp
32,0.0012598,0.0000168,elephant,2,mandelbrot_omp
64,0.0033589,0.0000257,elephant,2,mandelbrot_omp
128,0.0119536,0.0000728,elephant,2,mandelbrot_omp
256,0.043436,0.000217,elephant,2,mandelbrot_omp
512,0.158429,0.000840,elephant,2,mandelbrot_omp
1024,0.61497,0.00178,elephant,2,mandelbrot_omp
2048,2.43680,0.00306,elephant,2,mandelbrot_omp
4096,9.72472,0.00824,elephant,2,mandelbrot_omp
8192,38.9464,0.0569,elephant,2,mandelbrot_omp
16,0.0011533,0.0000280,seahorse,16,mandelbrot_omp
32,0.0014425,0.0000255,seahorse,16,mandelbrot_omp
64,0.0023045,0.0000480,seahorse,16,mandelbrot_omp
128,0.005841,0.000129,seahorse,16,mandelbrot_omp
256,0.017553,0.000397,seahorse,16,mandelbrot_omp
512,0.06705,0.00122,seahorse,16,mandelbrot_omp
1024,0.25737,0.00191,seahorse,16,mandelbrot_omp
2048,1.00805,0.00509,seahorse,16,mandelbrot_omp
4096,3.9875,0.0142,seahorse,16,mandelbrot_omp
8192,15.8442,0.0245,seahorse,16,mandelbrot_omp
16,0.000730,0.000154,full,2,mandelbrot_omp
32,0.0007145,0.0000162,full,2,mandelbrot_omp
64,0.0010659,0.0000152,full,2,mandelbrot_omp
128,0.0024006,0.0000181,full,2,mandelbrot_omp
256,0.007530,0.000159,full,2,mandelbrot_omp
512,0.026765,0.000295,full,2,mandelbrot_omp
1024,0.098422,0.000560,full,2,mandelbrot_omp
2048,0.37396,0.00248,full,2,mandelbrot_omp
4096,1.47215,0.00338,full,2,mandelbrot_omp
8192,5.85476,0.00424,full,2,mandelbrot_omp
16,0.001704,0.000736,elephant,8,mandelbrot_omp
32,0.0010354,0.0000151,elephant,8,mandelbrot_omp
64,0.0018198,0.0000713,elephant,8,mandelbrot_omp
128,0.0047402,0.0000219,elephant,8,mandelbrot_omp
256,0.0176908,0.0000666,elephant,8,mandelbrot_omp
512,0.07225,0.00134,elephant,8,mandelbrot_omp
1024,0.27424,0.00151,elephant,8,mandelbrot_omp
2048,1.07940,0.00407,elephant,8,mandelbrot_omp
4096,4.2531,0.0104,elephant,8,mandelbrot_omp
8192,17.0047,0.0454,elephant,8,mandelbrot_omp
16,0.001243,0.000111,seahorse,1,mandelbrot_omp
32,0.0019887,0.0000180,seahorse,1,mandelbrot_omp
64,0.0054709,0.0000362,seahorse,1,mandelbrot_omp
128,0.018032,0.000142,seahorse,1,mandelbrot_omp
256,0.061920,0.000725,seahorse,1,mandelbrot_omp
